zip_code,utility,home_size_sqft,residents,house_type,ac_level,climate,time_usage_type,total_kwh,hvac_kwh,peak_kwh,offpeak_kwh,bill_usd,carbon_kg,target_bill_usd,predicted_bill_usd,monthly_energy_saving_recommendation,fridge,fridge_kwh,washer,washer_kwh,dryer,dryer_kwh,dishwasher,dishwasher_kwh,ev_charger,ev_charger_kwh,pool_pump,pool_pump_kwh
92335,SDG&E,1450,5,condo,medium,mountain,morning_peak,638.0,336.0,446.6,191.4,218.33,255.2,181.01,218.33,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,1,25,1,15,1,252,0,0
94022,SDG&E,2988,5,detached,high,desert,mixed,1000.0,945.0,500.0,500.0,288.0,400.0,252.94,288.0,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,0,0,1,15,0,0,0,0
90001,SCE,4285,5,detached,medium,inland,mixed,666.0,504.0,333.0,333.0,165.18,266.4,142.94,165.18,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,1,15,0,0,1,82
90277,SDG&E,1393,2,apartment,low,coastal,mixed,407.0,180.0,203.5,203.5,127.89,162.8,99.21,127.89,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,1,15,1,147,0,0
92121,SCE,4820,6,condo,low,desert,morning_peak,477.0,330.0,333.9,143.1,138.88,190.8,102.41,138.88,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,1,25,1,15,0,0,1,97
92101,SCE,3061,3,apartment,low,desert,morning_peak,407.0,285.0,284.9,122.1,120.26,162.8,113.23,120.26,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,1,25,0,0,0,0,1,87
92335,SDG&E,972,3,apartment,medium,desert,mixed,880.0,570.0,440.0,440.0,255.6,352.0,184.68,255.6,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,1,25,0,0,1,155,1,120
90003,SDG&E,1159,1,condo,medium,inland,mixed,448.0,408.0,224.0,224.0,138.96,179.2,122.9,138.96,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,1,15,0,0,0,0
94538,SDG&E,4569,3,detached,medium,mountain,evening_peak,329.0,304.0,230.3,98.7,121.31,131.6,102.2,121.31,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,1,15,0,0,0,0
92618,SCE,3325,3,condo,medium,coastal,off_peak,425.0,380.0,85.0,340.0,86.8,170.0,65.75,86.8,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,1,15,0,0,0,0
94085,PG&E,3285,1,apartment,medium,inland,off_peak,612.0,408.0,122.4,489.6,131.28,244.8,99.51,131.28,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,1,15,1,159,0,0
94087,PG&E,3184,2,detached,low,coastal,mixed,694.0,180.0,347.0,347.0,188.5,277.6,162.7,188.5,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,1,15,1,351,1,148
94596,PG&E,3011,5,detached,high,desert,morning_peak,1112.0,945.0,778.4,333.6,337.48,444.8,275.84,337.48,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,0,0,0,0,1,127,0,0
92630,PG&E,1534,2,detached,medium,coastal,morning_peak,521.0,360.0,364.7,156.3,166.09,208.4,121.97,166.09,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,1,15,0,0,1,146
94105,PG&E,4264,4,condo,high,coastal,mixed,789.0,600.0,394.5,394.5,212.25,315.6,166.2,212.25,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,0,0,1,189,0,0
92612,SDG&E,4085,1,detached,high,mountain,morning_peak,433.0,408.0,303.1,129.9,153.96,173.2,113.57,153.96,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,1,15,0,0,0,0
92653,SDG&E,1362,5,detached,medium,mountain,mixed,406.0,336.0,203.0,203.0,127.62,162.4,105.13,127.62,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,1,15,0,0,0,0
94025,SCE,1567,5,condo,low,coastal,morning_peak,395.0,210.0,276.5,118.5,117.07,158.0,107.49,117.07,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,0,0,0,0,1,130
94087,PG&E,4969,6,condo,high,coastal,morning_peak,740.0,660.0,518.0,222.0,229.6,296.0,162.25,229.6,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,1,15,0,0,0,0
92612,SCE,2999,6,detached,medium,desert,morning_peak,685.0,660.0,479.5,205.5,194.21,274.0,163.12,194.21,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,1,15,0,0,0,0
94087,PG&E,2040,4,condo,high,mountain,evening_peak,480.0,480.0,336.0,144.0,154.2,192.0,117.5,154.2,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,0,0,0,0,0,0
90210,PG&E,4934,1,condo,medium,inland,evening_peak,438.0,408.0,306.6,131.4,142.02,175.2,114.65,142.02,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,0,0,0,0,0,0
94538,SCE,2057,6,condo,high,desert,morning_peak,1097.0,990.0,767.9,329.1,303.8,438.8,279.35,303.8,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,1,15,0,0,1,82
91730,SCE,3649,1,detached,high,inland,evening_peak,757.0,612.0,529.9,227.1,213.36,302.8,161.22,213.36,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,0,0,0,0,1,145
90278,PG&E,4141,6,condo,medium,coastal,mixed,917.0,440.0,458.5,458.5,244.25,366.8,195.51,244.25,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,1,15,1,383,1,79
91364,PG&E,2906,1,apartment,medium,mountain,off_peak,449.0,272.0,89.8,359.2,100.31,179.6,93.51,100.31,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,1,25,0,0,1,142,0,0
94087,SDG&E,4665,6,apartment,low,desert,morning_peak,516.0,330.0,361.2,154.8,180.02,206.4,142.46,180.02,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,0,0,1,105,1,81
94087,SDG&E,3077,3,apartment,high,coastal,mixed,704.0,570.0,352.0,352.0,208.08,281.6,166.19,208.08,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,0,0,1,15,0,0,1,79
92677,SDG&E,4890,5,condo,low,inland,evening_peak,282.0,252.0,197.4,84.6,106.55,112.8,88.34,106.55,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,0,0,0,0,0,0
92653,SDG&E,1825,2,apartment,medium,coastal,off_peak,609.0,360.0,121.8,487.2,142.24,243.6,101.73,142.24,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,0,0,1,148,1,101
92121,PG&E,4644,4,condo,medium,mountain,evening_peak,466.0,320.0,326.2,139.8,150.14,186.4,131.65,150.14,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,1,25,0,0,0,0,1,111
94551,PG&E,1998,1,detached,high,inland,off_peak,727.0,612.0,145.4,581.6,153.13,290.8,126.27,153.13,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,0,0,1,115,0,0
90001,SDG&E,4778,6,apartment,medium,inland,morning_peak,814.0,528.0,569.8,244.2,273.6,325.6,223.72,273.6,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,0,0,1,152,1,109
94080,PG&E,1586,5,detached,low,desert,off_peak,585.0,315.0,117.0,468.0,126.15,234.0,94.41,126.15,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,0,0,1,205,0,0
92646,SDG&E,907,4,condo,low,coastal,morning_peak,356.0,200.0,249.2,106.8,129.78,142.4,105.54,129.78,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,0,0,0,0,1,116,0,0
90002,SCE,4284,5,apartment,low,mountain,off_peak,501.0,168.0,100.2,400.8,100.18,200.4,80.74,100.18,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,1,15,1,288,0,0
92507,SCE,3342,3,detached,high,inland,morning_peak,1225.0,684.0,857.5,367.5,337.85,490.0,280.38,337.85,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,0,0,1,394,1,122
92630,SDG&E,923,2,apartment,low,desert,evening_peak,487.0,270.0,340.9,146.1,170.92,194.8,147.1,170.92,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,0,0,1,128,1,89
94582,PG&E,1344,5,detached,high,desert,morning_peak,1078.0,945.0,754.6,323.4,327.62,431.2,264.0,327.62,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,1,15,0,0,1,118
92630,PG&E,2560,6,detached,medium,mountain,morning_peak,441.0,352.0,308.7,132.3,142.89,176.4,132.32,142.89,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,1,25,0,0,0,0,1,54
91761,SDG&E,2859,2,detached,medium,mountain,mixed,616.0,288.0,308.0,308.0,184.32,246.4,142.56,184.32,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,0,0,0,0,1,298,0,0
90002,SCE,4453,1,condo,high,inland,evening_peak,877.0,612.0,613.9,263.1,245.28,350.8,194.22,245.28,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,1,15,1,185,0,0
92336,SDG&E,3421,2,detached,medium,mountain,mixed,455.0,288.0,227.5,227.5,140.85,182.0,130.62,140.85,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,1,25,0,0,1,132,0,0
92507,PG&E,2235,4,detached,medium,inland,morning_peak,520.0,480.0,364.0,156.0,165.8,208.0,138.32,165.8,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,1,15,0,0,0,0
94040,SDG&E,4636,4,apartment,high,inland,off_peak,745.0,720.0,149.0,596.0,169.98,298.0,121.15,169.98,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,1,15,0,0,0,0
90210,PG&E,1658,6,apartment,medium,desert,evening_peak,1129.0,660.0,790.3,338.7,342.41,451.6,291.93,342.41,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,1,15,1,289,1,110
90278,SCE,896,5,detached,high,inland,off_peak,1104.0,756.0,220.8,883.2,206.3,441.6,167.48,206.3,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,1,15,1,278,0,0
95014,SDG&E,2607,1,condo,high,inland,morning_peak,969.0,612.0,678.3,290.7,322.27,387.6,271.0,322.27,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,0,0,1,15,1,251,1,51
92507,PG&E,3402,4,condo,medium,coastal,morning_peak,470.0,400.0,329.0,141.0,151.3,188.0,108.16,151.3,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,1,15,0,0,0,0
90277,SDG&E,2803,2,apartment,high,mountain,mixed,635.0,432.0,317.5,317.5,189.45,254.0,165.55,189.45,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,1,15,1,188,0,0
91335,SDG&E,2263,6,apartment,high,desert,mixed,1203.0,990.0,601.5,601.5,342.81,481.2,288.18,342.81,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,0,0,1,116,1,97
94016,PG&E,4076,4,apartment,medium,coastal,off_peak,480.0,400.0,96.0,384.0,106.2,192.0,96.74,106.2,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,1,15,0,0,0,0
92121,SDG&E,4226,6,apartment,high,coastal,evening_peak,812.0,660.0,568.4,243.6,272.97,324.8,249.83,272.97,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,0,0,0,0,1,142,0,0
94080,SCE,2557,6,apartment,high,mountain,evening_peak,608.0,528.0,425.6,182.4,173.73,243.2,141.29,173.73,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,1,15,0,0,0,0
92507,SDG&E,4842,6,condo,low,inland,off_peak,475.0,264.0,95.0,380.0,114.9,190.0,84.37,114.9,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,1,15,0,0,1,141
92630,SCE,2662,3,apartment,high,coastal,morning_peak,754.0,570.0,527.8,226.2,212.56,301.6,189.62,212.56,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,1,15,0,0,1,104
94022,SCE,2714,3,detached,low,desert,evening_peak,285.0,285.0,199.5,85.5,87.81,114.0,65.01,87.81,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,0,0,0,0,0,0
94596,SDG&E,1616,3,condo,medium,desert,off_peak,625.0,570.0,125.0,500.0,145.5,250.0,102.37,145.5,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,0,0,0,0,0,0
92646,SCE,1022,1,condo,medium,coastal,evening_peak,355.0,340.0,248.5,106.5,106.43,142.0,87.21,106.43,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,0,0,1,15,0,0,0,0
94538,PG&E,2222,5,detached,low,inland,off_peak,307.0,252.0,61.4,245.6,73.33,122.8,53.53,73.33,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,0,0,1,25,0,0,0,0,0,0
94544,SCE,3050,2,condo,low,inland,off_peak,464.0,216.0,92.8,371.2,93.66,185.6,66.18,93.66,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,1,15,1,208,0,0
91356,PG&E,2400,4,apartment,medium,coastal,off_peak,465.0,400.0,93.0,372.0,103.35,186.0,88.06,103.35,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,0,0,0,0,0,0
94568,SDG&E,2031,4,apartment,high,coastal,mixed,904.0,600.0,452.0,452.0,262.08,361.6,211.55,262.08,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,1,10,1,25,1,15,1,254,0,0
94080,PG&E,1504,4,detached,medium,desert,morning_peak,1099.0,600.0,769.3,329.7,333.71,439.6,252.0,333.71,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",1,30,1,10,1,25,0,0,1,292,1,142
94025,SDG&E,4007,3,detached,high,coastal,mixed,610.0,570.0,305.0,305.0,182.7,244.0,153.88,182.7,"Reduce HVAC usage, unplug unused appliances, shift usage to off-peak",0,0,0,0,1,25,1,15,0,0,0,0
